"Task: 1, Test Name: Main menu displayed, DOM Id: #DIV__mainmenu__15, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Wishlist icon displayed, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Filters displayed, DOM Id: #filter_col, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Grid view icon displayed, DOM Id: i.ti-view-grid, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: List view icon displayed, DOM Id: i.ti-view-list, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: All product tiles DO NOT have heart, cart, control shuffle icons displayed, DOM Id: .grid_item ul li, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search field displayed, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search icon displayed, DOM Id: #I__headericon__44, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Magnifying glass icon NOT displayed, DOM Id: a.btn_search_mob, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Shopping cart quantity displayed, DOM Id: #STRONG____50, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 1, Test Name: Filters label NOT displayed, DOM Id: a.open_filters span, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 2, Test Name: Black shoes filter results have 2 products, DOM Id: .grid_item, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 2, Test Name: Black shoes filter results, all product tiles DO NOT have heart, cart, control shuffle icons displayed, DOM Id: .grid_item ul li, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product image is displayed, DOM Id: #shoe_img, Browser: chrome, Viewport: 1200 x 575, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product SKU is displayed, DOM Id: #SMALL____84, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product SKU value is MTKRY-001, DOM Id: #SMALL____84, Browser: chrome, Viewport: 1200 x 575, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product size is small, DOM Id: .nice-select .current, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product price with discount is displayed, DOM Id: #new_price, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product price with discount is $33.00, DOM Id: #new_price, Browser: chrome, Viewport: 1200 x 575, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product price with discount is displayed in blue color, DOM Id: #new_price, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product price without discount is displayed, DOM Id: #old_price, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product price without discount is $48.00, DOM Id: #old_price, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product price without discount is displayed in grey colour, DOM Id: #old_price, Browser: chrome, Viewport: 1200 x 575, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product price without discount is strikethrough, DOM Id: #old_price, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product discount is displayed, DOM Id: #discount, Browser: chrome, Viewport: 1200 x 575, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product discount is correct, DOM Id: #discount, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product review stars are displayed, DOM Id: #SPAN__rating__76 .icon-star, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
"Task: 3, Test Name: Product rating is 4 stars, DOM Id: #SPAN__rating__76 .icon-star, Browser: chrome, Viewport: 1200 x 531, Device: Laptop, Status: Pass
